Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
CHNE;Chatelaine (bif);CHNE;Chatelaine (bif);150;63.98053;Lausanne - Geneve-Aeroport;SBB;2496907.199;1119288.56;46.2171294664,6.10260397474;8501027;1027;Châtelaine (bif);http://lod.opentransportdata.swiss/didok/8501027
CHP;Yverdon-Champ Pittet;CHP;Yverdon-Champ Pittet;252;1.78;Yverdon Est - Payerne;SBB;2540717.258;1181514.036;46.7821496298,6.66232014389;8504144;4144;Yverdon-Champ Pittet;http://lod.opentransportdata.swiss/didok/8504144
CHSN;Chiasso Smistamento Nord (bif);CHSM;Chiasso Smistamento;637;204.4003;Chiasso Smistamento - Chiasso;SBB;2721646.467;1077852.59;45.841391918,9.00435921039;8515394;15394;Chiasso Smistamento Nord (bif);http://lod.opentransportdata.swiss/didok/8515394
COP;Coppet;COP;Coppet;150;47.00292;Lausanne - Geneve-Aeroport;SBB;2503660.649;1130324.449;46.3173935799,6.18782739372;8501023;1023;Coppet;http://lod.opentransportdata.swiss/didok/8501023
CORF;Cornaux fin des voies;CORI;Cornaux industrie;216;2.0;Cornaux - Raffinerie - Juracime;SBB;2568899.9632;1208925.4894;47.0306351709,7.02948902977;8516195;16195;Cornaux fin des voies;http://lod.opentransportdata.swiss/didok/8516195
CT;Court;CT;Court;226;67.04431;Sonceboz-Sombeval - Moutier - Delemont;SBB;2592692.146;1232191.49;47.2406009157,7.34210993055;8500104;104;Court;http://lod.opentransportdata.swiss/didok/8500104
CTY;Courtelary;CTY;Courtelary;225;56.46951;Biel/Bienne West - La Chaux-de-Fonds;SBB;2571964.557;1225030.275;47.1756314985,7.06880330987;8504307;4307;Courtelary;http://lod.opentransportdata.swiss/didok/8504307
CVT;Couvet CFF;CVT;Couvet CFF;219;26.04313;Auvernier - Les Verrieres frontiere;SBB;2538725.296;1198013.848;46.9303820444,6.63401705198;8504214;4214;Couvet CFF;http://lod.opentransportdata.swiss/didok/8504214
DENA;Denges A (bif);DEN;Denges-Echandens;150;8.26747;Lausanne - Geneve-Aeroport;SBB;2531193.53;1153533.643;46.5295507619,6.54181125414;8515322;15322;Denges A (bif);http://lod.opentransportdata.swiss/didok/8515322
DER;Derendingen;DER;Derendingen;415;77.25482;Wanzwil (Abzw) - Solothurn - Busswil;SBB;2610871.476;1227961.334;47.2025051101,7.58210903585;8500226;226;Derendingen;http://lod.opentransportdata.swiss/didok/8500226
DMTE;Delemont Est;DMT;Delemont;226;84.24922;Sonceboz-Sombeval - Moutier - Delemont;SBB;2593657.948;1245771.822;47.3627585367,7.35467131014;8515324;15324;Delémont Est;http://lod.opentransportdata.swiss/didok/8515324
DOR;Dornach-Arlesheim;DOR;Dornach-Arlesheim;230;115.45125;Delemont Est - Basel SBB Ost;SBB;2612999.944;1259776.226;47.4886198721,7.61111888889;8500118;118;Dornach-Arlesheim;http://lod.opentransportdata.swiss/didok/8500118
DORF;Dorfnest (Abzw);DORF;Dorfnest (Abzw);750;13.37408;ZH Oerlikon Nord - Dorfnest;SBB;2688318.739;1255390.319;47.4433780357,8.60956981715;8503337;3337;Dorfnest (Abzw);http://lod.opentransportdata.swiss/didok/8503337
DU;Dulliken;DU;Dulliken;540;42.94104;Olten - Woschnau;SBB;2638371.93;1244949.074;47.3542761012,7.94650133082;8502110;2110;Dulliken;http://lod.opentransportdata.swiss/didok/8502110
DUE;Dubendorf;DUE;Dubendorf;740;90.4432;Rapperswil - Uster - Wallisellen Ost;SBB;2689436.13;1250592.555;47.400080315,8.62342174323;8503128;3128;Dübendorf;http://lod.opentransportdata.swiss/didok/8503128
ECU;Ecublens-Rue;ECU;Ecublens-Rue;251;30.61342;Palezieux Est - Lyss Nord;SBB;2551921.982;1162323.311;46.6104302306,6.81105495524;8504018;4018;Ecublens-Rue;http://lod.opentransportdata.swiss/didok/8504018
EF;Effretikon;EF;Effretikon;751;16.82121;ZH Langstr. - Wallisellen - Winterthur;SBB;2694165.311;1253527.158;47.425812078,8.68667913161;8503305;3305;Effretikon;http://lod.opentransportdata.swiss/didok/8503305
EFG;Effingen;EFG;Effingen;700;42.43553;Brugg - Pratteln Ost;SBB;2649906.054;1258630.995;47.4765572477,8.10068305444;8500307;307;Effingen;http://lod.opentransportdata.swiss/didok/8500307
EGW;Eggwald (Spw);EGW;Eggwald (Spw);600;66.62448;Immensee - Bellinzona - Chiasso;SBB;2688356.156;1172590.317;46.6986771741,8.59390491707;8505142;5142;Eggwald (Spw);http://lod.opentransportdata.swiss/didok/8505142
ENT;Entlebuch;ENT;Entlebuch;460;66.36673;Gumligen Sud - Fluhmuhle;SBB;2647444.073;1204925.213;46.9936933292,8.06236428913;8508213;8213;Entlebuch;http://lod.opentransportdata.swiss/didok/8508213
EP;Ependes;EP;Ependes;210;32.69977;Daillens - Biel/Bienne;SBB;2536501.324;1177584.684;46.7464160747,6.60766182265;8501110;1110;Ependes;http://lod.opentransportdata.swiss/didok/8501110
EPS;Epesses;EPS;Epesses;100;9.97763;Lausanne - Simplon Tunnel I - Iselle;SBB;2546755.241;1148904.103;46.4893287681,6.74516602144;8501125;1125;Epesses;http://lod.opentransportdata.swiss/didok/8501125
ER;Erstfeld;ER;Erstfeld;600;41.5832;Immensee - Bellinzona - Chiasso;SBB;2692471.939;1186178.841;46.8203393997,8.65045465313;8505114;5114;Erstfeld;http://lod.opentransportdata.swiss/didok/8505114
ESB;Eschenbach;ESB;Eschenbach;651;8.567;Hubeli - Beinwil - Lenzburg;SBB;2667078.929;1220534.495;47.1323960447,8.32279074573;8502022;2022;Eschenbach;http://lod.opentransportdata.swiss/didok/8502022
ESEE;Ermensee;ESEE;Ermensee;651;21.86913;Hubeli - Beinwil - Lenzburg;SBB;2660862.889;1231285.124;47.2296905797,8.24231443624;8502019;2019;Ermensee;http://lod.opentransportdata.swiss/didok/8502019
EW;Etzwilen;EW;Etzwilen;819;31.80917;Etzwilen - Singen;SBB;2703658.811;1279856.088;47.6611446979,8.81861733248;8506025;6025;Etzwilen;http://lod.opentransportdata.swiss/didok/8506025
EW;Etzwilen;EW;Etzwilen;820;31.80917;Etzwilen - Schaffhausen;SBB;2703658.811;1279856.088;47.6611446979,8.81861733248;8506025;6025;Etzwilen;http://lod.opentransportdata.swiss/didok/8506025
FB;Feldbach;FB;Feldbach;730;31.40364;Zurich Stadelhofen - Rapperswil;SBB;2701825.161;1232903.634;47.2392035255,8.78349775224;8503109;3109;Feldbach;http://lod.opentransportdata.swiss/didok/8503109
FCK;Frick;FCK;Frick;700;51.8468;Brugg - Pratteln Ost;SBB;2643278.559;1262002.488;47.5073485419,8.0130924763;8500305;305;Frick;http://lod.opentransportdata.swiss/didok/8500305
FF;Frauenfeld;FF;Frauenfeld;843;42.05133;Frauenfeld - Frauenfeld Paketpost;SBB;2709725.594;1268513.356;47.5581634412,8.89655962127;8506100;6100;Frauenfeld;http://lod.opentransportdata.swiss/didok/8506100
FISH;Fischerholzli;FISH;Fischerholzli;770;37.73;Bulach - Eglisau - Neuhausen;SBB;2687552.269;1281031.661;47.6740655494,8.60445997192;8518156;18156;Fischerhölzli;http://lod.opentransportdata.swiss/didok/8518156
FMUE;Fluhmuhle (Abzw);FMUE;Fluhmuhle (Abzw);660;64.00891;Thalwil - Zug - Fluhmuhle;SBB;2664443.189;1212078.436;47.0566007468,8.28684763509;8505043;5043;Fluhmühle (Abzw);http://lod.opentransportdata.swiss/didok/8505043
FOU;Founex;FOU;Founex;150;45.63586;Lausanne - Geneve-Aeroport;SBB;2504185.665;1131582.423;46.3287835847,6.19438330424;8501016;1016;Founex;http://lod.opentransportdata.swiss/didok/8501016
FRAE;Fraschels;FRAE;Fraschels;251;87.67316;Palezieux Est - Lyss Nord;SBB;2582309.615;1205367.49;46.999126088,7.20603999571;8504401;4401;Fräschels;http://lod.opentransportdata.swiss/didok/8504401
FRIN;Frinvillier-Taubenloch;FRIN;Frinvillier-Taubenloch;225;39.11025;Biel/Bienne West - La Chaux-de-Fonds;SBB;2586269.732;1224293.464;47.1694577606,7.25752924997;8504301;4301;Frinvillier-Taubenloch;http://lod.opentransportdata.swiss/didok/8504301
FSMS;Faido SMF Sud;FSMF;Faido SMF;595;140.85971;GBT Ost;SBB;2705642.927;1150107.237;46.4939470012,8.81473359235;8518325;18325;Faido SMF Süd;http://lod.opentransportdata.swiss/didok/8518325
FUBI;Furet (bif);FUBI;Furet (bif);154;0.0;Furet - Jonction;SBB;2497887.71;1118340.74;46.2087541607,6.11551600358;8501028;1028;Furet (bif);http://lod.opentransportdata.swiss/didok/8501028
GA;Gampel-Steg;GA;Gampel-Steg;100;125.8725;Lausanne - Simplon Tunnel I - Iselle;SBB;2623800.461;1128392.119;46.3065154899,7.74758115014;8501603;1603;Gampel-Steg;http://lod.opentransportdata.swiss/didok/8501603
GD;Arth-Goldau;GD;Arth-Goldau;600;8.86435;Immensee - Bellinzona - Chiasso;SBB;2684404.807;1211487.521;47.049044874,8.54944633996;8505004;5004;Arth-Goldau;http://lod.opentransportdata.swiss/didok/8505004
GD;Arth-Goldau;GD;Arth-Goldau;602;0.0;Arth Goldau - Rigi Kulm;SBB;2684404.807;1211487.521;47.049044874,8.54944633996;8505004;5004;Arth-Goldau;http://lod.opentransportdata.swiss/didok/8505004
GDNW;Arth-Goldau Nordwest;GD;Arth-Goldau;666;8.87212;Goldau Nord - Goldau Ost;SBB;2684412.861;1211511.327;47.0492579986,8.54955670423;8515396;15396;Arth-Goldau Nordwest;http://lod.opentransportdata.swiss/didok/8515396
GE;Geneve;GE;Geneve;150;60.26063;Lausanne - Geneve-Aeroport;SBB;2499968.949;1118468.129;46.2102129079,6.14245160789;8501008;1008;Genève;http://lod.opentransportdata.swiss/didok/8501008
GELL;Gellert;GELL;Gellert;520;2.25128;Gellert - Basel Bad DB;SBB;2613310.27;1266514.711;47.5492183321,7.61543719001;8500045;45;Gellert;http://lod.opentransportdata.swiss/didok/8500045
GELW;Gellert West (Abzw);GELL;Gellert;520;1.5213;Gellert - Basel Bad DB;SBB;2612755.183;1266154.824;47.5459925428,7.60805304516;8515400;15400;Gellert West (Abzw);http://lod.opentransportdata.swiss/didok/8515400
GEV;Geneve-Eaux-Vives;GEV;Geneve-Eaux-Vives;152;70.45;St-Jean - Geneve-Eaux-Vives - Annemasse;SBB;2501814.213;1117463.107;46.2014454331,6.16656954867;8516273;16273;Genève-Eaux-Vives;http://lod.opentransportdata.swiss/didok/8516273
GEXO;Gexi Ost (Abzw);GEXI;Gexi;653;64.08259;Gexi Ost - Rotkreuz - Immensee West;SBB;2657123.07;1249394.057;47.3928962991,8.19523837476;8515401;15401;Gexi Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515401
GIDI;Giustizia (dira);GIDI;Giustizia (dira);595;164.01608;GBT Ost;SBB;2718870.376;1131405.308;46.3235262857,8.98219847522;8515717;15717;Giustizia (dira);http://lod.opentransportdata.swiss/didok/8515717
GIOC;Giornico (c bin);GIOC;Giornico (c bin);600;121.12164;Immensee - Bellinzona - Chiasso;SBB;2709999.191;1140515.867;46.4069794769,8.86918762871;8505245;5245;Giornico (c bin);http://lod.opentransportdata.swiss/didok/8505245
GIUS;Giubiasco Sud (bif);GIU;Giubiasco;600;154.35756;Immensee - Bellinzona - Chiasso;SBB;2720610.772;1114594.572;46.1720229572,9.00044654869;8515402;15402;Giubiasco Sud (bif);http://lod.opentransportdata.swiss/didok/8515402
GIUS;Giubiasco Sud (bif);GIU;Giubiasco;630;154.35756;Giubiasco - Locarno;SBB;2720610.772;1114594.572;46.1720229572,9.00044654869;8515402;15402;Giubiasco Sud (bif);http://lod.opentransportdata.swiss/didok/8515402
GIV;Givisiez;GIV;Givisiez;253;46.269;Payerne Est - Fribourg Nord;SBB;2576443.215;1185113.604;46.8167559122,7.12996158704;8504181;4181;Givisiez;http://lod.opentransportdata.swiss/didok/8504181
GIVO;Givisiez Ouest;GIV;Givisiez;255;4.45671;Givisiez - Murten;SBB;2575658.841;1185116.939;46.8167576302,7.11968349951;8505943;5943;Givisiez Ouest;http://lod.opentransportdata.swiss/didok/8505943
GL;Glarus;GL;Glarus;736;68.60283;Ziegelbrucke Ost - Linthal Gleisende;SBB;2724094.153;1211167.426;47.0399241801,9.07156637499;8503230;3230;Glarus;http://lod.opentransportdata.swiss/didok/8503230
GMT;Gruemet (Abzw);GMT;Gruemet (Abzw);650;22.83688;Killwangen West - Lenzburg - Daniken Ost;SBB;2662628.057;1253220.563;47.4268103009,8.2686845268;8502131;2131;Gruemet (Abzw);http://lod.opentransportdata.swiss/didok/8502131
GMT;Gruemet (Abzw);GMT;Gruemet (Abzw);703;50.64735;ZH Oerlikon Nord - Wettingen - Gruemet;SBB;2662628.057;1253220.563;47.4268103009,8.2686845268;8502131;2131;Gruemet (Abzw);http://lod.opentransportdata.swiss/didok/8502131
GOE;Goschenen;GOE;Goschenen;600;70.44657;Immensee - Bellinzona - Chiasso;SBB;2688019.933;1168931.801;46.6658149308,8.5888081861;8505119;5119;Göschenen;http://lod.opentransportdata.swiss/didok/8505119
GOLO;Goldach Ost;GOL;Goldach;880;67.0146;Sargans Ost - St.Gallen;SBB;2753833.168;1260298.409;47.4754516431,9.47955561803;8518085;18085;Goldach Ost;http://lod.opentransportdata.swiss/didok/8518085
GRA;Grandgourt;GRA;Grandgourt;240;119.6638;Delemont - Delle;SBB;2570559.067;1257756.634;47.469920111,7.04810770019;8500143;143;Grandgourt;http://lod.opentransportdata.swiss/didok/8500143
GRAL;Granges-Lens;GRAL;Granges-Lens;100;101.5583;Lausanne - Simplon Tunnel I - Iselle;SBB;2601548.428;1123795.132;46.2655804234,7.45872826969;8501508;1508;Granges-Lens;http://lod.opentransportdata.swiss/didok/8501508
GS;Grenchen Sud;GS;Grenchen Sud;410;85.3135;Olten - Solothurn - Biel/Bienne;SBB;2596934.48;1226425.843;47.1887746617,7.39818006118;8500202;202;Grenchen Süd;http://lod.opentransportdata.swiss/didok/8500202
GSK;Gisikon-Root;GSK;Gisikon-Root;660;52.823;Thalwil - Zug - Fluhmuhle;SBB;2672555.937;1219368.107;47.1213276944,8.39478856666;8502201;2201;Gisikon-Root;http://lod.opentransportdata.swiss/didok/8502201
GSS;Gossau SG;GSS;Gossau SG;850;90.1274;St.Gallen - Winterthur Nord;SBB;2736927.398;1252807.191;47.4118315691,9.25305071952;8506210;6210;Gossau SG;http://lod.opentransportdata.swiss/didok/8506210
GUE;Gumligen;GUE;Gumligen;295;4.97;Bern Zytglogge - Worb Dorf;SBB;2605092.291;1198138.796;46.9343219548,7.5055047832;8507003;7003;Gümligen;http://lod.opentransportdata.swiss/didok/8507003
GUET;Guttingen;GUET;Guttingen;824;90.48996;Romanshorn - Konstanz;SBB;2739367.23;1274765.368;47.6087529905,9.29224305174;8506124;6124;Güttingen;http://lod.opentransportdata.swiss/didok/8506124
HBLO;Heitersberglinie Ost (Abzw);HBLO;Heitersberglinie Ost (Abzw);650;17.48466;Killwangen West - Lenzburg - Daniken Ost;SBB;2667816.036;1254528.722;47.4380613536,8.33763783781;8515447;15447;Heitersberglinie Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515447
HBTN;Hauenstein Nord (Spw);HBTN;Hauenstein Nord (Spw);500;31.424;Basel SBB - Olten - Luzern;SBB;2634743.99;1251957.815;47.4175142978,7.89902807382;8500029;29;Hauenstein Nord (Spw);http://lod.opentransportdata.swiss/didok/8500029
HD;Hallwil;HD;Hallwil;651;34.487;Hubeli - Beinwil - Lenzburg;SBB;2655733.931;1242236.263;47.3286387297,8.17594944173;8502031;2031;Hallwil;http://lod.opentransportdata.swiss/didok/8502031
HDKN;Hendschiken Nord (Abzw);HDK;Hendschiken;653;64.934;Gexi Ost - Rotkreuz - Immensee West;SBB;2657901.26;1249209.835;47.3911715463,8.20552126768;8515403;15403;Hendschiken Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515403
HDKN;Hendschiken Nord (Abzw);HDK;Hendschiken;654;64.95649;Gexi - Hendschiken Nord (Gleis links);SBB;2657901.26;1249209.835;47.3911715463,8.20552126768;8515403;15403;Hendschiken Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515403
HERL;Herrliberg-Feldmeilen;HERL;Herrliberg-Feldmeilen;730;16.61921;Zurich Stadelhofen - Rapperswil;SBB;2688826.085;1237434.33;47.2818266004,8.61273348833;8503103;3103;Herrliberg-Feldmeilen;http://lod.opentransportdata.swiss/didok/8503103
HET;Hettlingen;HET;Hettlingen;762;32.70651;Winterthur Nord - Schaffhausen RB Ost;SBB;2694567.606;1266836.397;47.5454414729,8.69483420682;8506045;6045;Hettlingen;http://lod.opentransportdata.swiss/didok/8506045
HG;Horgen;HG;Horgen;720;16.78603;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2687662.978;1235155.058;47.2614833923,8.59691702338;8503204;3204;Horgen;http://lod.opentransportdata.swiss/didok/8503204
HPT;Hauptwil;HPT;Hauptwil;852;14.3738;Sulgen - Gossau SG;SBB;2736650.206;1260033.611;47.4768665836,9.25159158654;8506212;6212;Hauptwil;http://lod.opentransportdata.swiss/didok/8506212
HUZY;Hunenberg Zythus;HUZY;Hunenberg Zythus;660;44.355;Thalwil - Zug - Fluhmuhle;SBB;2676677.626;1225232.465;47.1736075218,8.45009529897;8515996;15996;Hünenberg Zythus;http://lod.opentransportdata.swiss/didok/8515996
IL;Illnau;IL;Illnau;753;4.45785;Effretikon - Wetzikon - Hinwil;SBB;2696915.829;1251681.97;47.4088191895,8.72272753467;8503303;3303;Illnau;http://lod.opentransportdata.swiss/didok/8503303
IMW;Immensee West (Abzw);IM;Immensee;570;18.92026;Gutsch - Kussnacht - Immensee;SBB;2677576.715;1216320.857;47.0933510948,8.46042351416;8515405;15405;Immensee West (Abzw);http://lod.opentransportdata.swiss/didok/8515405
IMW;Immensee West (Abzw);IM;Immensee;600;0.0;Immensee - Bellinzona - Chiasso;SBB;2677576.715;1216320.857;47.0933510948,8.46042351416;8515405;15405;Immensee West (Abzw);http://lod.opentransportdata.swiss/didok/8515405
IT;Itingen;IT;Itingen;500;19.151;Basel SBB - Olten - Luzern;SBB;2626282.472;1257447.366;47.4672787538,7.78722595338;8500025;25;Itingen;http://lod.opentransportdata.swiss/didok/8500025
KF;Konolfingen;KF;Konolfingen;460;20.51824;Gumligen Sud - Fluhmuhle;SBB;2613928.979;1192191.873;46.8807023919,7.62136704032;8508202;8202;Konolfingen;http://lod.opentransportdata.swiss/didok/8508202
KHF;Kehlhof;KHF;Kehlhof;831;24.31774;Weinfelden - Tagermoos;SBB;2730250.875;1270490.213;47.5721871628,9.1697794714;8506193;6193;Kehlhof;http://lod.opentransportdata.swiss/didok/8506193
KIM;Kirchmatt (Spw);KIM;Kirchmatt (Spw);700;45.4953;Brugg - Pratteln Ost;SBB;2647607.409;1259692.484;47.4862741428,8.07030363354;8515170;15170;Kirchmatt (Spw);http://lod.opentransportdata.swiss/didok/8515170
KLWW;Killwangen West (Abzw);KLW;Killwangen-Spreitenbach;704;40.99186;Wurenlos - Killwangen West (RBL);SBB;2668725.525;1254231.03;47.4352897624,8.34964761959;8515450;15450;Killwangen West (Abzw);http://lod.opentransportdata.swiss/didok/8515450
KLWW;Killwangen West (Abzw);KLW;Killwangen-Spreitenbach;710;16.51888;Zurich HB - Brugg AG;SBB;2668725.525;1254231.03;47.4352897624,8.34964761959;8515450;15450;Killwangen West (Abzw);http://lod.opentransportdata.swiss/didok/8515450
KOLM;Kollermuhle (Abzw);KOLM;Kollermuhle (Abzw);711;36.36795;ZH Hardbrucke - Kollermuhle;SBB;2679227.103;1226094.23;47.1810577703,8.48387324876;8516744;16744;Kollermühle (Abzw);http://lod.opentransportdata.swiss/didok/8516744
KR;Kreuzlingen;KR;Kreuzlingen;822;60.68801;Etzwilen - Konstanz;SBB;2730001.191;1279422.829;47.6525527757,9.16908040533;8506131;6131;Kreuzlingen;http://lod.opentransportdata.swiss/didok/8506131
KUES;Kusnacht ZH;KUES;Kusnacht ZH;730;11.73777;Zurich Stadelhofen - Rapperswil;SBB;2686337.692;1241548.395;47.3191565828,8.58063778944;8503101;3101;Küsnacht ZH;http://lod.opentransportdata.swiss/didok/8503101
KZ;Kerzers;KZ;Kerzers;259;84.81079;Kerzers Sud - Kerzers SBB;SBB;2581294.968;1202697.231;46.9750789544,7.19281019439;8504400;4400;Kerzers;http://lod.opentransportdata.swiss/didok/8504400
LANG;Langacher (Spw);LANG;Langacher (Spw);650;17.83407;Killwangen West - Lenzburg - Daniken Ost;SBB;2667473.289;1254462.489;47.4375009353,8.33308450786;8502129;2129;Langacher (Spw);http://lod.opentransportdata.swiss/didok/8502129
LBA;Les Bayards;LBA;Les Bayards;219;35.9025;Auvernier - Les Verrieres frontiere;SBB;2530299.484;1195700.284;46.9087402114,6.52373950495;8504212;4212;Les Bayards;http://lod.opentransportdata.swiss/didok/8504212
LDS;Landschlacht;LDS;Landschlacht;824;94.57485;Romanshorn - Konstanz;SBB;2735910.703;1276924.504;47.6288913227,9.24694868289;8588122;88122;Landschlacht;http://lod.opentransportdata.swiss/didok/8588122
LECH;Lechelles;LECH;Lechelles;253;35.47849;Payerne Est - Fribourg Nord;SBB;2567419.548;1186457.156;46.8284597694,7.01162703087;8504137;4137;Léchelles;http://lod.opentransportdata.swiss/didok/8504137
LECR;Lecheires (bif);LECR;Lecheires (bif);164;7.35995;Lecheires - Denges A;SBB;2531895.696;1154107.782;46.5347871189,6.55087778174;8501148;1148;Lécheires (bif);http://lod.opentransportdata.swiss/didok/8501148
LGN;Lugano Nord;LG;Lugano;600;179.7896;Immensee - Bellinzona - Chiasso;SBB;2716493.116;1096524.543;46.0102280566,8.94265431841;8515408;15408;Lugano Nord;http://lod.opentransportdata.swiss/didok/8515408
LGUT;Lochligut (Abzw);LGUT;Lochligut (Abzw);400;4.84863;Lochligut - Wanzwil - Rothrist West;SBB;2602078.83;1203280.731;46.9805903923,7.46595467656;8504449;4449;Löchligut (Abzw);http://lod.opentransportdata.swiss/didok/8504449
LGUT;Lochligut (Abzw);LGUT;Lochligut (Abzw);459;101.2767;Rutti - Lochligut;SBB;2602078.83;1203280.731;46.9805903923,7.46595467656;8504449;4449;Löchligut (Abzw);http://lod.opentransportdata.swiss/didok/8504449
LHE;La Heutte;LHE;La Heutte;225;43.68453;Biel/Bienne West - La Chaux-de-Fonds;SBB;2583839.581;1226526.915;47.1894917627,7.22539576798;8504303;4303;La Heutte;http://lod.opentransportdata.swiss/didok/8504303
LIG;Ligerz;LIG;Ligerz;210;94.00279;Daillens - Biel/Bienne;SBB;2576954.982;1214795.878;47.0837688799,7.13515712331;8504227;4227;Ligerz;http://lod.opentransportdata.swiss/didok/8504227
LIN;Linthal;LIN;Linthal;736;84.4537;Ziegelbrucke Ost - Linthal Gleisende;SBB;2718741.32;1198342.263;46.9255635637,8.9977948688;8503239;3239;Linthal;http://lod.opentransportdata.swiss/didok/8503239
LNTW;Neustadttunnel West (Vzw);HEIM;Heimbach (Spw);9553;0.0;Neustadttunnel Ost - Neustadttunnel West;SBB;2665369.0;1211156.0;47.0482132621,8.29889933969;8509013;9013;Neustadttunnel West (Vzw);http://lod.opentransportdata.swiss/didok/8509013
LNTW;Neustadttunnel West (Vzw);HEIM;Heimbach (Spw);9571;0.0;Ebikon Sud - Neustadttunnel West;SBB;2665369.0;1211156.0;47.0482132621,8.29889933969;8509013;9013;Neustadttunnel West (Vzw);http://lod.opentransportdata.swiss/didok/8509013
LOCF;Le Locle-Frontiere;LOCF;Le Locle-Frontiere;224;39.58;Chambrelien Nord - Le Locle (Frontiere);SBB;2545162.982;1211274.04;47.050217541,6.71694218438;8504319;4319;Le Locle-Frontière;http://lod.opentransportdata.swiss/didok/8504319
